"YEAR","JURISDICTION","METRIC","Sum(FINES)","Sum(COUNT)"
2008,"ACT","positive_breath_tests",0,1887
2008,"NSW","positive_breath_tests",0,27368
2008,"NT","positive_breath_tests",0,9460
2008,"QLD","positive_breath_tests",0,26975
2008,"SA","positive_breath_tests",0,10467
2008,"TAS","positive_breath_tests",0,4563
2008,"VIC","positive_breath_tests",0,19190
2008,"WA","positive_breath_tests",0,14532
2009,"ACT","positive_breath_tests",0,1628
2009,"NSW","positive_breath_tests",0,26595
2009,"NT","positive_breath_tests",0,10990
2009,"QLD","positive_breath_tests",0,32696
2009,"SA","positive_breath_tests",0,10954
2009,"TAS","positive_breath_tests",0,5120
2009,"VIC","positive_breath_tests",0,18246
2009,"WA","positive_breath_tests",0,13039
2010,"ACT","positive_breath_tests",0,1447
2010,"NSW","positive_breath_tests",0,24411
2010,"NT","positive_breath_tests",0,10842
2010,"QLD","positive_breath_tests",0,33638
2010,"SA","positive_breath_tests",0,10172
2010,"TAS","positive_breath_tests",0,3895
2010,"VIC","positive_breath_tests",0,16297
2010,"WA","positive_breath_tests",0,11595
2011,"ACT","positive_breath_tests",0,1488
2011,"NSW","positive_breath_tests",0,22117
2011,"NT","positive_breath_tests",0,8914
2011,"QLD","positive_breath_tests",0,27264
2011,"SA","positive_breath_tests",0,10034
2011,"TAS","positive_breath_tests",0,3527
2011,"VIC","positive_breath_tests",0,13925
2011,"WA","positive_breath_tests",0,10644
2012,"ACT","positive_breath_tests",0,1418
2012,"NSW","positive_breath_tests",0,19982
2012,"NT","positive_breath_tests",0,9332
2012,"QLD","positive_breath_tests",0,25320
2012,"SA","positive_breath_tests",0,9267
2012,"TAS","positive_breath_tests",0,2916
2012,"VIC","positive_breath_tests",0,13033
2012,"WA","positive_breath_tests",0,9737
2013,"ACT","positive_breath_tests",0,1399
2013,"NSW","positive_breath_tests",0,20193
2013,"NT","positive_breath_tests",0,12395
2013,"QLD","positive_breath_tests",0,25291
2013,"SA","positive_breath_tests",0,8890
2013,"TAS","positive_breath_tests",0,2782
2013,"VIC","positive_breath_tests",0,11442
2013,"WA","positive_breath_tests",0,8636
2014,"ACT","positive_breath_tests",0,1267
2014,"NSW","positive_breath_tests",0,19531
2014,"NT","positive_breath_tests",0,13562
2014,"QLD","positive_breath_tests",0,23023
2014,"SA","positive_breath_tests",0,8154
2014,"TAS","positive_breath_tests",0,2585
2014,"VIC","positive_breath_tests",0,12062
2014,"WA","positive_breath_tests",0,11034
2015,"ACT","positive_breath_tests",0,1134
2015,"NSW","positive_breath_tests",0,18750
2015,"NT","positive_breath_tests",0,14192
2015,"QLD","positive_breath_tests",0,20357
2015,"SA","positive_breath_tests",0,8208
2015,"TAS","positive_breath_tests",0,2327
2015,"VIC","positive_breath_tests",0,9315
2015,"WA","positive_breath_tests",0,10071
2016,"ACT","positive_breath_tests",0,1005
2016,"NSW","positive_breath_tests",0,17442
2016,"NT","positive_breath_tests",0,7571
2016,"QLD","positive_breath_tests",0,18673
2016,"SA","positive_breath_tests",0,5155
2016,"TAS","positive_breath_tests",0,2322
2016,"VIC","positive_breath_tests",0,10337
2016,"WA","positive_breath_tests",0,8912
2017,"ACT","positive_breath_tests",0,1057
2017,"NSW","positive_breath_tests",0,18022
2017,"NT","positive_breath_tests",0,7846
2017,"QLD","positive_breath_tests",0,16489
2017,"SA","positive_breath_tests",0,6007
2017,"TAS","positive_breath_tests",0,2070
2017,"VIC","positive_breath_tests",0,9969
2017,"WA","positive_breath_tests",0,9062
2018,"ACT","positive_breath_tests",0,1114
2018,"NSW","positive_breath_tests",0,17989
2018,"NT","positive_breath_tests",0,7672
2018,"QLD","positive_breath_tests",0,16773
2018,"SA","positive_breath_tests",0,4997
2018,"TAS","positive_breath_tests",0,1723
2018,"VIC","positive_breath_tests",0,7025
2018,"WA","positive_breath_tests",0,7550
2019,"ACT","positive_breath_tests",0,933
2019,"NSW","positive_breath_tests",0,17084
2019,"NT","positive_breath_tests",0,7775
2019,"QLD","positive_breath_tests",0,16685
2019,"SA","positive_breath_tests",0,4985
2019,"TAS","positive_breath_tests",0,1805
2019,"VIC","positive_breath_tests",0,9235
2019,"WA","positive_breath_tests",0,6878
2020,"ACT","positive_breath_tests",0,888
2020,"NSW","positive_breath_tests",0,13540
2020,"NT","positive_breath_tests",0,7362
2020,"QLD","positive_breath_tests",0,16060
2020,"SA","positive_breath_tests",0,4400
2020,"VIC","positive_breath_tests",0,4976
2020,"WA","positive_breath_tests",0,7510
2021,"ACT","positive_breath_tests",0,767
2021,"NSW","positive_breath_tests",0,12980
2021,"NT","positive_breath_tests",0,5492
2021,"QLD","positive_breath_tests",0,16402
2021,"SA","positive_breath_tests",0,4062
2021,"VIC","positive_breath_tests",0,6363
2021,"WA","positive_breath_tests",0,7417
2022,"ACT","positive_breath_tests",0,847
2022,"NSW","positive_breath_tests",0,15794
2022,"NT","positive_breath_tests",0,5120
2022,"QLD","positive_breath_tests",0,17007
2022,"SA","positive_breath_tests",0,4556
2022,"VIC","positive_breath_tests",0,8280
2022,"WA","positive_breath_tests",0,7331
2023,"ACT","positive_breath_tests",0,742
2023,"NSW","positive_breath_tests",4098,13971
2023,"NT","positive_breath_tests",0,7722
2023,"QLD","positive_breath_tests",0,15859
2023,"SA","positive_breath_tests",1390,4333
2023,"VIC","positive_breath_tests",0,8257
2023,"WA","positive_breath_tests",2150,8299
2024,"ACT","positive_breath_tests",0,644
2024,"NSW","positive_breath_tests",3631,12995
2024,"NT","positive_breath_tests",231,8717
2024,"QLD","positive_breath_tests",0,15336
