"JURISDICTION","YEAR","DETECTION_METHOD_CLEAN","Sum(FINES)"
"ACT",2010,"Camera (fixed/mobile)",58705
"ACT",2011,"Camera (fixed/mobile)",56719
"ACT",2012,"Camera (fixed/mobile)",54201
"ACT",2013,"Camera (fixed/mobile)",51948
"ACT",2014,"Camera (fixed/mobile)",45120
"ACT",2015,"Camera (fixed/mobile)",50640
"ACT",2016,"Camera (fixed/mobile)",55750
"ACT",2017,"Camera (fixed/mobile)",52913
"ACT",2018,"Camera (fixed/mobile)",66449
"ACT",2019,"Camera (fixed/mobile)",59330
"ACT",2020,"Camera (fixed/mobile)",57612
"ACT",2021,"Camera (fixed/mobile)",113807
"ACT",2023,"Camera (fixed/mobile)",69726
"ACT",2023,"Police issued",2235
"ACT",2024,"Camera (fixed/mobile)",66065
"ACT",2024,"Police issued",2781
"NSW",2008,"Camera (fixed/mobile)",590408
"NSW",2009,"Camera (fixed/mobile)",513616
"NSW",2010,"Camera (fixed/mobile)",390746
"NSW",2011,"Camera (fixed/mobile)",389649
"NSW",2012,"Camera (fixed/mobile)",432586
"NSW",2013,"Camera (fixed/mobile)",426904
"NSW",2014,"Camera (fixed/mobile)",468465
"NSW",2015,"Camera (fixed/mobile)",486571
"NSW",2016,"Camera (fixed/mobile)",494676
"NSW",2017,"Camera (fixed/mobile)",478004
"NSW",2017,"Police issued",253949
"NSW",2018,"Camera (fixed/mobile)",444372
"NSW",2018,"Police issued",237017
"NSW",2019,"Camera (fixed/mobile)",442556
"NSW",2019,"Police issued",216237
"NSW",2020,"Camera (fixed/mobile)",707453
"NSW",2020,"Police issued",207863
"NSW",2021,"Camera (fixed/mobile)",1273155
"NSW",2021,"Police issued",179465
"NSW",2022,"Camera (fixed/mobile)",1053321
"NSW",2022,"Police issued",164275
"NSW",2023,"Camera (fixed/mobile)",705834
"NSW",2023,"Police issued",175649
"NSW",2024,"Camera (fixed/mobile)",718806
"NSW",2024,"Police issued",186866
"NT",2008,"Camera (fixed/mobile)",23865
"NT",2009,"Camera (fixed/mobile)",19893
"NT",2010,"Camera (fixed/mobile)",26775
"NT",2011,"Camera (fixed/mobile)",24633
"NT",2012,"Camera (fixed/mobile)",27730
"NT",2013,"Camera (fixed/mobile)",24536
"NT",2014,"Camera (fixed/mobile)",22871
"NT",2015,"Camera (fixed/mobile)",24928
"NT",2016,"Camera (fixed/mobile)",22239
"NT",2017,"Camera (fixed/mobile)",22556
"NT",2018,"Camera (fixed/mobile)",27639
"NT",2018,"Police issued",9813
"NT",2019,"Camera (fixed/mobile)",27208
"NT",2019,"Police issued",12292
"NT",2020,"Camera (fixed/mobile)",33009
"NT",2020,"Police issued",7912
"NT",2021,"Camera (fixed/mobile)",31997
"NT",2021,"Police issued",6651
"NT",2022,"Camera (fixed/mobile)",27390
"NT",2022,"Police issued",6252
"NT",2023,"Camera (fixed/mobile)",39863
"NT",2023,"Police issued",3443
"NT",2024,"Camera (fixed/mobile)",44299
"NT",2024,"Police issued",3756
"QLD",2008,"Camera (fixed/mobile)",502886
"QLD",2009,"Camera (fixed/mobile)",475870
"QLD",2010,"Camera (fixed/mobile)",440622
"QLD",2011,"Camera (fixed/mobile)",588714
"QLD",2012,"Camera (fixed/mobile)",653679
"QLD",2013,"Camera (fixed/mobile)",762905
"QLD",2014,"Camera (fixed/mobile)",1004090
"QLD",2015,"Camera (fixed/mobile)",1076622
"QLD",2016,"Camera (fixed/mobile)",659305
"QLD",2017,"Camera (fixed/mobile)",733717
"QLD",2018,"Camera (fixed/mobile)",859691
"QLD",2018,"Police issued",161732
"QLD",2019,"Camera (fixed/mobile)",886731
"QLD",2019,"Police issued",155049
"QLD",2020,"Camera (fixed/mobile)",779069
"QLD",2020,"Police issued",131789
"QLD",2021,"Camera (fixed/mobile)",865513
"QLD",2021,"Police issued",113413
"QLD",2022,"Camera (fixed/mobile)",777226
"QLD",2022,"Police issued",72173
"QLD",2023,"Camera (fixed/mobile)",743514
"QLD",2023,"Police issued",117112
"QLD",2024,"Camera (fixed/mobile)",682685
"QLD",2024,"Police issued",112198
"SA",2008,"Camera (fixed/mobile)",119500
"SA",2009,"Camera (fixed/mobile)",107676
"SA",2010,"Camera (fixed/mobile)",91335
"SA",2011,"Camera (fixed/mobile)",61859
"SA",2012,"Camera (fixed/mobile)",54773
"SA",2013,"Camera (fixed/mobile)",74391
"SA",2014,"Camera (fixed/mobile)",100562
"SA",2015,"Camera (fixed/mobile)",85282
"SA",2016,"Camera (fixed/mobile)",182856
"SA",2017,"Camera (fixed/mobile)",162804
"SA",2018,"Camera (fixed/mobile)",174731
"SA",2019,"Camera (fixed/mobile)",202914
"SA",2020,"Camera (fixed/mobile)",175237
"SA",2021,"Camera (fixed/mobile)",202693
"SA",2022,"Camera (fixed/mobile)",157432
"SA",2022,"Police issued",28764
"SA",2023,"Camera (fixed/mobile)",155366
"SA",2023,"Police issued",48236
"SA",2024,"Camera (fixed/mobile)",130227
"SA",2024,"Police issued",54354
"TAS",2008,"Camera (fixed/mobile)",59962
"TAS",2009,"Camera (fixed/mobile)",67768
"TAS",2010,"Camera (fixed/mobile)",37376
"TAS",2011,"Camera (fixed/mobile)",24427
"TAS",2012,"Camera (fixed/mobile)",7410
"TAS",2013,"Camera (fixed/mobile)",7517
"TAS",2014,"Camera (fixed/mobile)",9250
"TAS",2015,"Camera (fixed/mobile)",15220
"TAS",2016,"Camera (fixed/mobile)",15977
"TAS",2017,"Camera (fixed/mobile)",13095
"TAS",2018,"Camera (fixed/mobile)",8609
"TAS",2019,"Camera (fixed/mobile)",6738
"TAS",2020,"Camera (fixed/mobile)",5430
"TAS",2020,"Police issued",35321
"TAS",2021,"Camera (fixed/mobile)",4244
"TAS",2021,"Police issued",34984
"TAS",2022,"Camera (fixed/mobile)",14023
"TAS",2022,"Police issued",28714
"TAS",2023,"Camera (fixed/mobile)",45406
"TAS",2023,"Police issued",19634
"TAS",2024,"Camera (fixed/mobile)",54911
"TAS",2024,"Police issued",20082
"VIC",2008,"Camera (fixed/mobile)",1114036
"VIC",2009,"Camera (fixed/mobile)",1136590
"VIC",2010,"Camera (fixed/mobile)",1172460
"VIC",2011,"Camera (fixed/mobile)",1151555
